Pn7	32001614	32001961
Pn4	28726377	28730022
Pn4	18008408	18008922
Pn5	13924972	13928076
Pn26	10898270	10900013
Pn26	10458188	10458667
Pn26	10572086	10575312
Pn4	18004344	18005181
Pn22	21607307	21609695
Pn14	28435082	28437467
Pn12	1139847	1140640
Pn13	12451288	12456791
Pn8	23026584	23033074
Pn13	13323751	13326113
Pn1	31359381	31363664
Pn2	6242811	6245991
Pn6	31709309	31714535
Pn13	14834674	14837284
Pn13	13521653	13522556
Pn20	3850547	3851754
Pn24	2489537	2494938
Pn2	7086184	7089364
Pn20	3838130	3839329
Pn20	5806156	5807404
Pn13	13282224	13290007
Pn13	13360238	13367174
Pn13	13571366	13573238
