# gene name           KO     thrshld  score   E-value KO definition
#-------------------- ------ ------- ------ --------- ---------------------
* Pn4.2313            K20029  218.13  249.6   2.6e-74 palmitoyltransferase ZDHHC3/7/25 [EC:2.3.1.225]
* Pn4.2313            K18932  200.70  215.2   6.4e-64 palmitoyltransferase [EC:2.3.1.225]
* Pn4.2309            K18999  197.23  449.1  9.2e-135 RNA polymerase II C-terminal domain phosphatase-like 3/4 [EC:3.1.3.16]
* Pn4.2306            K07374  484.00 1000.8  7.9e-302 tubulin alpha
* Pn4.2305            K13508  219.03  507.1  2.3e-152 glycerol-3-phosphate acyltransferase [EC:2.3.1.15 2.3.1.198]
* Pn4.2303            K17943  119.50  824.8  5.1e-248 pumilio RNA-binding family
* Pn4.2293            K03122   43.93  218.4     8e-65 transcription initiation factor TFIIA large subunit
* Pn4.2281            K06063  161.87  833.5  7.4e-251 SNW domain-containing protein 1
* Pn4.2278            K11254   52.73  276.0   1.3e-82 histone H4
* Pn4.2272            K10523  143.13  242.4   4.5e-72 speckle-type POZ protein
* Pn4.2269            K00966  301.40  584.3  7.1e-176 mannose-1-phosphate guanylyltransferase [EC:2.7.7.13]
* Pn4.2267            K00761  212.37  356.1  6.4e-107 uracil phosphoribosyltransferase [EC:2.4.2.9]
* Pn4.2254            K03872   74.23  154.8     9e-46 elongin-C
* Pn4.2253            K09458  469.33  543.3  3.3e-163 3-oxoacyl-[acyl-carrier-protein] synthase II [EC:2.3.1.179]
* Pn4.2243            K14500  247.53  916.6  3.1e-276 BR-signaling kinase [EC:2.7.11.1]
* Pn4.2242            K17778   84.40  140.1   3.3e-41 mitochondrial import inner membrane translocase subunit TIM10
* Pn4.2228            K23280  343.57  524.3  1.5e-157 rhamnogalacturonan I rhamnosyltransferase [EC:2.4.1.351]
* Pn4.2224            K12349  152.83 1157.7         0 neutral ceramidase [EC:3.5.1.23]
* Pn4.2220            K09591  298.70  389.0  4.8e-117 steroid 5-alpha-reductase [EC:1.3.1.22]
* Pn4.2216            K04802   64.97  117.9   1.6e-34 proliferating cell nuclear antigen
* Pn4.2214            K04802   64.97  100.5   3.2e-29 proliferating cell nuclear antigen
* Pn4.2213            K12349  152.83 1156.9         0 neutral ceramidase [EC:3.5.1.23]
* Pn4.2208            K23280  343.57  505.1  9.1e-152 rhamnogalacturonan I rhamnosyltransferase [EC:2.4.1.351]
* Pn4.2196            K03841  218.73  584.4  7.7e-176 fructose-1,6-bisphosphatase I [EC:3.1.3.11]
* Pn4.1983            K04485   91.90  117.5   2.6e-34 DNA repair protein RadA/Sms
* Pn4.1986            K19995   47.90  336.2  2.3e-100 secretory carrier-associated membrane protein
* Pn4.1987            K00344  279.97  321.2   6.2e-96 NADPH:quinone reductase [EC:1.6.5.5]
* Pn4.1992            K12486  195.73  330.4   1.2e-98 stromal membrane-associated protein
* Pn4.1993            K12184  109.47  310.8   4.1e-93 ESCRT-I complex subunit VPS28
* Pn4.1994            K10357 1108.63 1152.2         0 myosin V
* Pn4.1995            K03885  199.80  570.8  1.8e-171 NADH:quinone reductase (non-electrogenic) [EC:1.6.5.9]
* Pn4.1996            K05391  229.50  687.8    1e-206 cyclic nucleotide gated channel, plant
* Pn4.2004            K00901   97.87  319.2   2.2e-95 diacylglycerol kinase (ATP) [EC:2.7.1.107]
* Pn4.2006            K09422  126.07  285.4   3.1e-85 transcription factor MYB, plant
* Pn4.2014            K02636  108.10  248.0   5.6e-74 cytochrome b6-f complex iron-sulfur subunit [EC:7.1.1.6]
* Pn4.2016            K11836  231.50 1096.8         0 ubiquitin carboxyl-terminal hydrolase 5/13 [EC:3.4.19.12]
* Pn4.2020            K24345  143.43  182.7   3.5e-54 calcium-binding protein KIC and related proteins
* Pn4.2022            K02962   26.17  239.3   7.5e-72 small subunit ribosomal protein S17e
* Pn4.2023            K14487  766.90 1037.7         0 auxin responsive GH3 gene family
* Pn4.2024            K03809   59.60  383.0  4.9e-115 NAD(P)H dehydrogenase (quinone) [EC:1.6.5.2]
* Pn4.2026            K10704   69.67  293.7   4.1e-88 ubiquitin-conjugating enzyme E2 variant
* Pn4.2029            K08235  152.70  447.9  2.3e-134 xyloglucan:xyloglucosyl transferase [EC:2.4.1.207]
* Pn4.2030            K00565   74.30  423.5    4e-127 mRNA (guanine-N7-)-methyltransferase [EC:2.1.1.56]
* Pn4.2066            K00671  234.67  751.5  4.1e-226 glycylpeptide N-tetradecanoyltransferase [EC:2.3.1.97]
* Pn4.2069            K22748  409.20 1845.8         0 [histone H3]-lysine4 N-trimethyltransferase ATXR3 [EC:2.1.1.354]
* Pn4.2074            K11251   45.87  264.0   7.6e-79 histone H2A
* Pn4.2075            K10405  553.93  670.4  1.6e-201 kinesin family member C1
* Pn4.2081            K11462  137.20  506.7  3.3e-152 polycomb protein EED
* Pn4.2086            K00430  113.80  486.2    7e-146 peroxidase [EC:1.11.1.7]
* Pn4.2090            K04125  280.67  306.1   2.4e-91 gibberellin 2beta-dioxygenase [EC:1.14.11.13]
* Pn4.2094            K08235  152.70  439.3  9.4e-132 xyloglucan:xyloglucosyl transferase [EC:2.4.1.207]
* Pn4.2100            K15283  254.67  507.9  9.9e-153 solute carrier family 35, member E1
* Pn4.2102            K14007  211.30 1141.2         0 protein transport protein SEC24
* Pn4.2103            K01951  107.00  616.3  2.3e-185 GMP synthase (glutamine-hydrolysing) [EC:6.3.5.2]
* Pn4.2104            K16569  379.40  874.7  3.4e-263 gamma-tubulin complex component 2
* Pn4.2105            K07976  271.60  296.6     1e-88 Rab family, other
* Pn4.2106            K05387  482.73  967.1  5.7e-291 glutamate receptor, ionotropic, plant
* Pn4.2108            K03098   88.70   88.8   2.3e-25 apolipoprotein D and lipocalin family protein
* Pn4.2114            K12667   85.20  609.4  5.7e-183 oligosaccharyltransferase complex subunit delta (ribophorin II)
* Pn4.2117            K22390  139.30  442.8  8.6e-133 acid phosphatase type 7
* Pn4.2120            K15152   35.03  132.7   6.9e-39 mediator of RNA polymerase II transcription subunit 21
* Pn4.2122            K14290  484.27 1660.8         0 exportin-1
* Pn4.2125            K25102  160.53  208.2   7.4e-62 tRNA selenocysteine 1-associated protein 1
* Pn4.2127            K00655  123.10  156.6   4.7e-46 1-acyl-sn-glycerol-3-phosphate acyltransferase [EC:2.3.1.51]
* Pn4.2136            K09022   75.90  235.2   5.8e-70 2-iminobutanoate/2-iminopropanoate deaminase [EC:3.5.99.10]
* Pn4.2138            K09422  126.07  242.6   3.4e-72 transcription factor MYB, plant
* Pn4.2139            K01363  224.53  306.0   1.8e-91 cathepsin B [EC:3.4.22.1]
* Pn4.2141            K11749   78.67  299.3   2.7e-89 regulator of sigma E protease [EC:3.4.24.-]
* Pn4.2142            K04532  408.20  775.4  4.9e-233 NEDD8-activating enzyme E1 regulatory subunit
* Pn4.2143            K03768  223.00  224.5   6.9e-67 peptidyl-prolyl cis-trans isomerase B (cyclophilin B) [EC:5.2.1.8]
* Pn4.2143            K03767  188.17  214.7   6.6e-64 peptidyl-prolyl cis-trans isomerase A (cyclophilin A) [EC:5.2.1.8]
* Pn4.2143            K01802   89.63   91.7   2.5e-26 peptidylprolyl isomerase [EC:5.2.1.8]
* Pn4.2144            K23978   96.53  282.1   3.4e-84 isoamyl acetate esterase [EC:3.1.1.112]
* Pn4.2146            K07300   83.23  479.1  6.8e-144 Ca2+:H+ antiporter
* Pn4.2147            K14684  329.87  349.0    2e-104 solute carrier family 25 (mitochondrial phosphate transporter), member 23/24/25/41
* Pn4.2148            K22419  237.80  343.3  1.6e-102 Delta4-3-oxosteroid 5beta-reductase [EC:1.3.1.3]
* Pn4.2150            K09422  126.07  170.4   2.9e-50 transcription factor MYB, plant
* Pn4.2154            K10140  238.97  470.7  2.9e-141 DNA damage-binding protein 2
* Pn4.2162            K01657  464.27  705.0  3.3e-212 anthranilate synthase component I [EC:4.1.3.27]
* Pn4.2164            K13946  320.33  949.8  1.3e-286 auxin influx carrier (AUX1 LAX family)
* Pn4.2170            K09667  221.33  856.2  1.3e-257 protein O-GlcNAc transferase [EC:2.4.1.255]
* Pn4.2171            K13508  219.03  779.7  6.5e-235 glycerol-3-phosphate acyltransferase [EC:2.3.1.15 2.3.1.198]
* Pn4.2172            K15401  916.27  928.4  4.2e-280 long-chain fatty acid omega-monooxygenase [EC:1.14.14.80]
* Pn4.2177            K06119  363.63  802.9  6.3e-242 sulfoquinovosyltransferase [EC:2.4.1.-]
* Pn4.2186            K00030  450.70  573.4  1.7e-172 isocitrate dehydrogenase (NAD+) [EC:1.1.1.41]
* Pn4.2191            K02926   95.43  221.9   4.6e-66 large subunit ribosomal protein L4
* Pn2.2934            K02703  294.40  662.7  2.7e-199 photosystem II P680 reaction center D1 protein [EC:1.10.3.9]
* Pn2.2962            K01358   53.23   70.6   6.4e-20 ATP-dependent Clp protease, protease subunit [EC:3.4.21.92]
* Pn2.2973            K00430  113.80  440.9  3.7e-132 peroxidase [EC:1.11.1.7]
* Pn2.2978            K07574   36.83   77.7   4.1e-22 RNA-binding protein
* Pn2.2981            K00161  423.63  569.6  2.2e-171 pyruvate dehydrogenase E1 component alpha subunit [EC:1.2.4.1]
* Pn2.2988            K11644  219.47  733.9  1.7e-220 paired amphipathic helix protein Sin3a
* Pn2.3000            K07297  161.70  413.6  4.7e-124 adiponectin receptor
* Pn2.3002            K18789  327.73  545.7  5.3e-164 xylogalacturonan beta-1,3-xylosyltransferase [EC:2.4.2.41]
* Pn2.3005            K18789  327.73  758.8  1.6e-228 xylogalacturonan beta-1,3-xylosyltransferase [EC:2.4.2.41]
* Pn2.3027            K09716  110.60  344.3  3.5e-103 D-aminoacyl-tRNA deacylase [EC:3.1.1.96]
* Pn2.3032            K04371  576.13  576.9  1.5e-173 mitogen-activated protein kinase 1/3 [EC:2.7.11.24]
* Pn2.3033            K13947  238.33  579.3  3.3e-174 auxin efflux carrier family protein
* Pn2.3039            K10401  497.83  593.2  3.6e-178 kinesin family member 18/19
* Pn2.3054            K16284  217.03  621.1  2.9e-187 E3 ubiquitin-protein ligase SIS3 [EC:2.3.2.27]
