# gene name           KO     thrshld  score   E-value KO definition
#-------------------- ------ ------- ------ --------- ---------------------
* Pn24.279            K15148   45.07  257.2   7.7e-77 mediator of RNA polymerase II transcription subunit 7
* Pn24.282            K15148   45.07  257.1   8.3e-77 mediator of RNA polymerase II transcription subunit 7
* Pn24.287            K22048  247.70 1252.6         0 mechanosensitive ion channel protein 4/5/6/7/8/9/10
* Pn24.288            K00799   55.17  131.1   2.5e-38 glutathione S-transferase [EC:2.5.1.18]
* Pn24.289            K15280  196.47  222.0   4.9e-66 solute carrier family 35, member C2
* Pn24.289            K13153   50.47  212.7   3.1e-63 U11/U12 small nuclear ribonucleoprotein 25 kDa protein
* Pn24.296            K09873  271.70  414.1  1.7e-124 aquaporin TIP
* Pn24.302            K04711  157.00  296.7   1.2e-88 dihydroceramidase [EC:3.5.1.-]
* Pn24.311            K25507  128.27  163.4   3.9e-48 high mobility group B protein, plant
* Pn24.313            K10268  183.63  203.9     2e-60 F-box and leucine-rich repeat protein 2/20
* Pn24.320            K23541   34.90   36.0   1.6e-09 Ca2+/H+ antiporter, TMEM165/GDT1 family
* Pn24.322            K04797   54.53  190.2   2.6e-56 prefoldin alpha subunit
* Pn24.326            K16221  107.23  337.4  5.9e-101 transcription factor TCP21 (protein CCA1 HIKING EXPEDITION)
* Pn24.327            K11982  136.10  232.5   3.6e-69 E3 ubiquitin-protein ligase RNF115/126 [EC:2.3.2.27]
* Pn24.332            K16297  480.00  707.1  7.5e-213 serine carboxypeptidase-like clade II [EC:3.4.16.-]
* Pn24.336            K07151  233.83 1110.9         0 dolichyl-diphosphooligosaccharide---protein glycosyltransferase [EC:2.4.99.18]
* Pn24.339            K02739  421.40  487.7  1.1e-146 20S proteasome subunit beta 2 [EC:3.4.25.1]
* Pn24.340            K12391  497.30 1257.3         0 AP-1 complex subunit gamma-1
* Pn24.343            K07040   21.70   29.4   2.9e-07 DUF177 domain-containing protein
* Pn24.345            K02221   22.63   58.7   2.8e-16 YggT family protein
* Pn24.347            K09828  273.83  504.3  1.5e-151 Delta24-sterol reductase [EC:1.3.1.72 1.3.1.-]
* Pn24.354            K19022  124.57  134.1   2.1e-39 AP-5 complex subunit beta-1
* Pn24.355            K19022  124.57  722.3  4.4e-217 AP-5 complex subunit beta-1
* Pn24.357            K20184  141.37  886.2  1.1e-266 vacuolar protein sorting-associated protein 41
* Pn24.363            K21407  259.87  295.7   3.1e-88 adipocyte plasma membrane-associated protein
* Pn24.377            K14492  115.67  165.6   5.8e-49 two-component response regulator ARR-A family
* Pn24.379            K00279  240.23  696.3  1.8e-209 cytokinin dehydrogenase [EC:1.5.99.12]
* Pn24.380            K02874   91.47  204.1   7.5e-61 large subunit ribosomal protein L14
* Pn24.386            K07192   67.23  329.0   2.5e-98 flotillin
* Pn24.387            K07192   67.23  171.1   1.7e-50 flotillin
* Pn24.390            K14486  150.40  232.9   3.6e-69 auxin response factor
* Pn24.391            K14486  150.40  382.6    2e-114 auxin response factor
* Pn24.393            K22415   87.70   99.7   1.1e-28 zinc finger CCCH domain-containing protein 11
* Pn24.397            K03020   99.47  171.9   5.8e-51 DNA-directed RNA polymerases I and III subunit RPAC2
* Pn24.398            K00430  113.80  241.6   8.6e-72 peroxidase [EC:1.11.1.7]
* Pn24.399            K00430  113.80  375.1  3.2e-112 peroxidase [EC:1.11.1.7]
* Pn24.400            K00939  189.07  192.8   4.4e-57 adenylate kinase [EC:2.7.4.3]
* Pn24.409            K14439  655.23  783.3  1.3e-235 SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A containing DEAD/H box 1 [EC:5.6.2.-]
* Pn24.414            K02291  166.77  437.5  3.9e-131 15-cis-phytoene synthase [EC:2.5.1.32]
* Pn24.419            K07097  114.90  128.9   1.4e-37 uncharacterized protein
* Pn24.420            K00799   55.17  129.9     6e-38 glutathione S-transferase [EC:2.5.1.18]
