# gene name           KO     thrshld  score   E-value KO definition
#-------------------- ------ ------- ------ --------- ---------------------
* Pn7.2               K02704  300.00  356.6  6.9e-107 photosystem II CP47 chlorophyll apoprotein
* Pn7.1               K02704  300.00  454.5  1.4e-136 photosystem II CP47 chlorophyll apoprotein
* Pn7.633             K11584  256.60  669.3  4.6e-201 serine/threonine-protein phosphatase 2A regulatory subunit B'
* Pn7.621             K07901  394.90  433.6  1.8e-130 Ras-related protein Rab-8A
* Pn7.621             K18158  277.97  299.1   3.2e-89 nuclear control of ATPase protein 2
* Pn7.610             K12169  182.70  875.5  3.6e-263 Kip1 ubiquitination-promoting complex protein 1 [EC:2.3.2.27]
* Pn7.609             K09549   65.20  195.1   4.4e-58 prefoldin subunit 2
* Pn7.538             K02703  294.40  758.6  2.5e-228 photosystem II P680 reaction center D1 protein [EC:1.10.3.9]
* Pn7.525             K02703  294.40  465.8  1.1e-139 photosystem II P680 reaction center D1 protein [EC:1.10.3.9]
* Pn7.519             K02703  294.40  764.8  3.4e-230 photosystem II P680 reaction center D1 protein [EC:1.10.3.9]
* Pn7.513             K02114   91.23  131.6   1.2e-38 F-type H+-transporting ATPase subunit epsilon
* Pn7.406             K03217  116.67  265.0     4e-79 YidC/Oxa1 family membrane protein insertase
* Pn7.394             K00620  169.17  603.3  1.9e-181 glutamate N-acetyltransferase / amino-acid N-acetyltransferase [EC:2.3.1.35 2.3.1.1]
* Pn7.387             K19363   25.87   62.0   9.2e-18 lipopolysaccharide-induced tumor necrosis factor-alpha factor
* Pn7.386             K00162  507.50  594.8  5.2e-179 pyruvate dehydrogenase E1 component beta subunit [EC:1.2.4.1]
* Pn7.383             K14488   34.97   97.8   4.7e-28 SAUR family protein
* Pn7.378             K00036  375.37  770.1  9.1e-232 glucose-6-phosphate 1-dehydrogenase [EC:1.1.1.49 1.1.1.363]
* Pn7.370             K24273  255.47  257.7     1e-76 U2 small nuclear ribonucleoprotein auxiliary factor 35 kDa subunit-related protein
* Pn7.365             K00430  113.80  487.7  2.5e-146 peroxidase [EC:1.11.1.7]
* Pn7.359             K10755  440.67  543.3  4.2e-163 replication factor C subunit 2/4
* Pn7.352             K09264  128.70  254.3   7.7e-76 MADS-box transcription factor, plant
* Pn7.334             K18801  154.07  293.8   7.6e-88 glucuronoxylan 4-O-methyltransferase [EC:2.1.1.112]
* Pn7.332             K09158   32.87   43.8     1e-11 uncharacterized protein
* Pn7.331             K10765  158.70  332.9   1.3e-99 alkylated DNA repair protein alkB homolog 1 [EC:1.14.11.51 4.2.99.18 1.14.11.-]
* Pn7.324             K12164  382.63  660.6  7.2e-199 ubiquitin-like modifier-activating enzyme 5
* Pn7.316             K12164  382.63  663.5  9.1e-200 ubiquitin-like modifier-activating enzyme 5
* Pn7.312             K10739   82.23  247.6     9e-74 replication factor A2
* Pn7.311             K05302  207.53  352.9  1.4e-105 N-lysine methyltransferase SETD6 [EC:2.1.1.-]
* Pn7.2239            K05302  207.53  352.9  1.4e-105 N-lysine methyltransferase SETD6 [EC:2.1.1.-]
* Pn7.2235            K22390  139.30  422.3  1.5e-126 acid phosphatase type 7
* Pn7.2234            K13151   52.70   87.6   2.8e-25 snurportin-1
* Pn7.2232            K10739   82.23  277.6     7e-83 replication factor A2
* Pn7.2231            K05302  207.53  351.9  2.9e-105 N-lysine methyltransferase SETD6 [EC:2.1.1.-]
* Pn7.2229            K22390  139.30  420.5  4.9e-126 acid phosphatase type 7
* Pn7.2210            K13456   42.17  273.3   1.4e-81 RPM1-interacting protein 4
* Pn7.2205            K14009   35.70   72.7   1.2e-20 B-cell receptor-associated protein 31
* Pn7.2203            K00696  319.63 1522.4         0 sucrose-phosphate synthase [EC:2.4.1.14]
* Pn7.2202            K13691  682.97  759.3  2.1e-228 pathogen-inducible salicylic acid glucosyltransferase [EC:2.4.1.-]
* Pn7.2201            K13691  682.97  689.4  2.7e-207 pathogen-inducible salicylic acid glucosyltransferase [EC:2.4.1.-]
* Pn7.2199            K05755   96.43  228.3   5.3e-68 actin related protein 2/3 complex, subunit 4
* Pn7.2198            K23280  343.57  365.6  1.7e-109 rhamnogalacturonan I rhamnosyltransferase [EC:2.4.1.351]
* Pn7.2195            K14009   35.70   73.2   8.7e-21 B-cell receptor-associated protein 31
* Pn7.2193            K00696  319.63 1520.8         0 sucrose-phosphate synthase [EC:2.4.1.14]
* Pn7.2192            K13691  682.97  763.6    1e-229 pathogen-inducible salicylic acid glucosyltransferase [EC:2.4.1.-]
* Pn7.2190            K13691  682.97  765.4  2.8e-230 pathogen-inducible salicylic acid glucosyltransferase [EC:2.4.1.-]
* Pn7.2187            K23280  343.57  363.8  6.4e-109 rhamnogalacturonan I rhamnosyltransferase [EC:2.4.1.351]
* Pn7.2184            K03128  328.57 1045.4         0 transcription initiation factor TFIID subunit 2
* Pn7.2179            K10949   66.53  306.4   1.2e-91 ER lumen protein retaining receptor
* Pn7.2170            K01183  116.00  216.4   3.2e-64 chitinase [EC:3.2.1.14]
* Pn7.2162            K24983  447.87  522.0  1.5e-156 Ras GTPase-activating protein-binding protein 2
* Pn7.2161            K01495   59.27   97.3   3.8e-28 GTP cyclohydrolase IA [EC:3.5.4.16]
* Pn7.2151            K02935   24.87  173.2   3.5e-51 large subunit ribosomal protein L7/L12
* Pn7.2142            K00422  260.90  661.4  9.1e-199 polyphenol oxidase [EC:1.10.3.1]
* Pn7.2141            K13217  145.60  731.9  3.7e-220 pre-mRNA-processing factor 39
* Pn7.2140            K07393   82.40  404.3  3.3e-121 glutathionyl-hydroquinone reductase [EC:1.8.5.7]
