# gene name           KO     thrshld  score   E-value KO definition
#-------------------- ------ ------- ------ --------- ---------------------
* Pn22.689            K17338  137.30  201.3   1.1e-59 receptor expression-enhancing protein 1/2/3/4
* Pn22.687            K00993  391.17  503.1  4.3e-151 ethanolaminephosphotransferase [EC:2.7.8.1]
* Pn22.681            K11827  222.63  301.7   1.4e-90 AP-2 complex subunit sigma-1
* Pn22.675            K00475  448.80  555.8  1.3e-167 naringenin 3-dioxygenase [EC:1.14.11.9]
* Pn22.669            K19045  129.70  280.4   1.2e-83 E3 ubiquitin-protein ligase BIG BROTHER and related proteins [EC:2.3.2.27]
* Pn22.668            K25507  128.27  201.8   7.6e-60 high mobility group B protein, plant
* Pn22.661            K03781   74.63  728.0  7.2e-219 catalase [EC:1.11.1.6]
* Pn22.654            K00700  287.97  849.2  1.5e-255 1,4-alpha-glucan branching enzyme [EC:2.4.1.18]
* Pn22.650            K02936   66.93  476.0  5.6e-143 large subunit ribosomal protein L7Ae
* Pn22.647            K03537   51.27   88.4   1.9e-25 ribonuclease P/MRP protein subunit POP5 [EC:3.1.26.5]
* Pn22.644            K23280  343.57  418.6  1.6e-125 rhamnogalacturonan I rhamnosyltransferase [EC:2.4.1.351]
* Pn22.644            K00981   47.63  275.4   3.9e-82 phosphatidate cytidylyltransferase [EC:2.7.7.41]
* Pn22.643            K22522   75.87  443.4  2.6e-133 cytokinin riboside 5'-monophosphate phosphoribohydrolase [EC:3.2.2.-]
* Pn22.640            K19476  119.57  191.1   1.6e-56 vacuolar protein sorting-associated protein IST1
* Pn22.637            K12349  152.83  237.7   9.2e-71 neutral ceramidase [EC:3.5.1.23]
* Pn22.629            K15296  115.57  427.8  2.4e-128 alpha-soluble NSF attachment protein
* Pn22.613            K05282  301.97  656.1  8.6e-198 gibberellin-44 dioxygenase [EC:1.14.11.12]
* Pn22.608            K01373  406.17  490.4  1.5e-147 cathepsin F [EC:3.4.22.41]
* Pn22.605            K23569   55.73  238.5   3.4e-71 ER membrane protein complex subunit 8/9
* Pn22.600            K01695   86.47  430.7  2.3e-129 tryptophan synthase alpha chain [EC:4.2.1.20]
* Pn22.599            K14327  165.43 1219.4         0 regulator of nonsense transcripts 2
* Pn22.596            K09874  239.47  368.3  2.6e-110 aquaporin NIP
* Pn22.583            K14516  204.43  281.2     5e-84 ethylene-responsive transcription factor 1
* Pn22.583            K09286   88.90  149.8   4.9e-44 EREBP-like factor
* Pn22.581            K09286   88.90  153.7   3.1e-45 EREBP-like factor
* Pn22.576            K16278  809.17 1160.7         0 E3 ubiquitin-protein ligase HOS1 [EC:2.3.2.27]
* Pn22.575            K22883  250.50  332.2   1.4e-99 L-ornithine N5-acetyltransferase [EC:2.3.1.-]
* Pn22.575            K00657   65.37  101.4   3.4e-29 diamine N-acetyltransferase [EC:2.3.1.57]
* Pn22.574            K02865  152.40  430.4  1.3e-129 large subunit ribosomal protein L10Ae
* Pn22.573            K13681   90.17  790.5  1.1e-237 xyloglucan fucosyltransferase [EC:2.4.1.-]
* Pn22.571            K04077  136.20  786.0  2.6e-236 chaperonin GroEL
* Pn22.570            K16221  107.23  169.2   9.8e-50 transcription factor TCP21 (protein CCA1 HIKING EXPEDITION)
* Pn22.565            K13525  825.10 1385.1         0 transitional endoplasmic reticulum ATPase
* Pn22.563            K02066   45.60  250.1   1.3e-74 phospholipid/cholesterol/gamma-HCH transport system permease protein
* Pn22.557            K13096  101.67  328.5   4.3e-98 splicing factor 4
* Pn22.556            K04683  139.33  374.3  4.8e-112 transcription factor Dp-1
* Pn22.554            K13034  638.10  671.0  1.7e-202 L-3-cyanoalanine synthase/ cysteine synthase [EC:2.5.1.47 4.4.1.9]
* Pn22.554            K01738  426.60  460.7  2.4e-138 cysteine synthase [EC:2.5.1.47]
* Pn22.554            K14563  307.10  339.8  1.1e-101 rRNA 2'-O-methyltransferase fibrillarin [EC:2.1.1.-]
* Pn22.551            K03036  258.53  727.3  1.2e-218 26S proteasome regulatory subunit N6
* Pn22.550            K08486  213.73  305.8     2e-91 syntaxin 1B/2/3
* Pn22.548            K23960  181.47  628.3  4.1e-189 mRNA m6A methyltransferase non-catalytic subunit
* Pn22.543            K15436  568.73  916.9  7.5e-276 transportin-3
