# gene name           KO     thrshld  score   E-value KO definition
#-------------------- ------ ------- ------ --------- ---------------------
* Pn1.5               K11982  136.10  250.1   1.6e-74 E3 ubiquitin-protein ligase RNF115/126 [EC:2.3.2.27]
* Pn1.11              K02221   22.63   60.0   1.2e-16 YggT family protein
* Pn1.22              K18368  482.57  520.3  1.3e-156 caffeoylshikimate esterase [EC:3.1.1.-]
* Pn1.22              K01054  174.53  352.5  1.2e-105 acylglycerol lipase [EC:3.1.1.23]
* Pn1.24              K14486  150.40  793.3  1.3e-238 auxin response factor
* Pn1.29              K00430  113.80  490.1  4.6e-147 peroxidase [EC:1.11.1.7]
* Pn1.32              K07889  276.00  317.0   4.2e-95 Ras-related protein Rab-5C
* Pn1.35              K11593  433.27 1358.6         0 eukaryotic translation initiation factor 2C
* Pn1.37              K11593  433.27 1294.1         0 eukaryotic translation initiation factor 2C
* Pn1.38              K11593  433.27 1377.6         0 eukaryotic translation initiation factor 2C
* Pn1.49              K13412  534.20  821.3  2.1e-247 calcium-dependent protein kinase [EC:2.7.11.1]
* Pn1.57              K19040  148.33  174.9     1e-51 E3 ubiquitin-protein ligase ATL10/75/76/77/78 [EC:2.3.2.27]
* Pn1.58              K20027  153.87  181.8   1.1e-53 palmitoyltransferase ZDHHC1/11 [EC:2.3.1.225]
* Pn1.60              K08472  160.90  167.5   1.6e-49 mlo protein
* Pn1.62              K03527   57.67  384.7  2.8e-115 4-hydroxy-3-methylbut-2-en-1-yl diphosphate reductase [EC:1.17.7.4]
* Pn1.63              K24139   83.60  414.1  2.9e-124 auxin efflux carrier family protein
* Pn1.64              K08852  208.57  238.6   5.3e-71 serine/threonine-protein kinase/endoribonuclease IRE1 [EC:2.7.11.1 3.1.26.-]
* Pn1.65              K00872  244.00  350.9  5.8e-105 homoserine kinase [EC:2.7.1.39]
* Pn1.67              K05359  350.00  497.7  1.3e-149 arogenate/prephenate dehydratase [EC:4.2.1.91 4.2.1.51]
* Pn1.67              K04518  225.33  314.2   8.1e-94 prephenate dehydratase [EC:4.2.1.51]
* Pn1.73              K03767  188.17  237.4   7.7e-71 peptidyl-prolyl cis-trans isomerase A (cyclophilin A) [EC:5.2.1.8]
* Pn1.73              K01802   89.63   93.7     6e-27 peptidylprolyl isomerase [EC:5.2.1.8]
* Pn1.80              K09487 1100.87 1248.7         0 heat shock protein 90kDa beta
* Pn1.80              K04079   60.10  808.0    5e-243 molecular chaperone HtpG
* Pn1.84              K03029   61.77  495.9    5e-149 26S proteasome regulatory subunit N10
* Pn1.87              K13181  520.80  801.3  6.2e-241 ATP-dependent RNA helicase DDX27 [EC:3.6.4.13]
* Pn1.90              K09422  126.07  267.2   1.1e-79 transcription factor MYB, plant
* Pn1.97              K00809  125.10  454.2  4.3e-136 deoxyhypusine synthase [EC:2.5.1.46]
* Pn1.102             K25785  227.33  381.2  2.2e-114 bZIP transcription factor 19/23/24
* Pn1.106             K03094   60.53  299.9   6.2e-90 S-phase kinase-associated protein 1
* Pn1.108             K19042   70.00  222.8   3.7e-66 E3 ubiquitin-protein ligase BOI and related proteins [EC:2.3.2.27]
* Pn1.109             K18757  110.20  193.6   3.1e-57 la-related protein 1
* Pn1.109             K14432   81.97  102.1     2e-29 ABA responsive element binding factor
* Pn1.110             K09872  227.30  540.6  6.9e-163 aquaporin PIP
* Pn1.113             K10581  296.67  581.5  1.2e-174 ubiquitin-conjugating enzyme E2 O [EC:2.3.2.24]
* Pn1.116             K00430  113.80  331.8   4.3e-99 peroxidase [EC:1.11.1.7]
* Pn1.118             K01102  188.10  408.7  1.5e-122 pyruvate dehydrogenase phosphatase [EC:3.1.3.43]
* Pn1.120             K03327  104.53  525.1  1.7e-157 multidrug resistance protein, MATE family
* Pn1.123             K13412  534.20  783.4  6.2e-236 calcium-dependent protein kinase [EC:2.7.11.1]
* Pn1.128             K11584  256.60  515.9  1.1e-154 serine/threonine-protein phosphatase 2A regulatory subunit B'
* Pn1.133             K02638   90.67  183.9   1.3e-54 plastocyanin
* Pn1.136             K13648  566.33  965.5  7.2e-291 alpha-1,4-galacturonosyltransferase [EC:2.4.1.43]
* Pn1.137             K13109  214.77  485.9  9.5e-146 IK cytokine
* Pn1.138             K01179   21.90  309.3   3.6e-92 endoglucanase [EC:3.2.1.4]
* Pn1.139             K01051   76.27  154.3   1.7e-45 pectinesterase [EC:3.1.1.11]
* Pn1.141             K01623   46.60  680.6  9.9e-205 fructose-bisphosphate aldolase, class I [EC:4.1.2.13]
* Pn1.144             K07071  117.50  234.1   1.4e-69 uncharacterized protein
* Pn1.147             K02155  120.63  310.2   6.3e-93 V-type H+-transporting ATPase 16kDa proteolipid subunit
* Pn1.148             K01711  272.53  618.2  9.1e-186 GDPmannose 4,6-dehydratase [EC:4.2.1.47]
* Pn1.149             K19040  148.33  176.3   3.8e-52 E3 ubiquitin-protein ligase ATL10/75/76/77/78 [EC:2.3.2.27]
* Pn1.150             K20027  153.87  219.1   5.4e-65 palmitoyltransferase ZDHHC1/11 [EC:2.3.1.225]
* Pn1.151             K08472  160.90  174.9   9.6e-52 mlo protein
* Pn1.153             K03527   57.67  384.5  3.3e-115 4-hydroxy-3-methylbut-2-en-1-yl diphosphate reductase [EC:1.17.7.4]
* Pn1.154             K24139   83.60  412.1  1.2e-123 auxin efflux carrier family protein
* Pn1.157             K00872  244.00  360.8  5.9e-108 homoserine kinase [EC:2.7.1.39]
* Pn1.159             K05359  350.00  497.4  1.6e-149 arogenate/prephenate dehydratase [EC:4.2.1.91 4.2.1.51]
* Pn1.159             K04518  225.33  314.1   8.4e-94 prephenate dehydratase [EC:4.2.1.51]
* Pn1.163             K03767  188.17  237.4   7.7e-71 peptidyl-prolyl cis-trans isomerase A (cyclophilin A) [EC:5.2.1.8]
* Pn1.163             K01802   89.63   93.7     6e-27 peptidylprolyl isomerase [EC:5.2.1.8]
* Pn1.170             K09487 1100.87 1249.3         0 heat shock protein 90kDa beta
* Pn1.170             K04079   60.10  807.9  5.3e-243 molecular chaperone HtpG
* Pn1.175             K03029   61.77  495.8  5.4e-149 26S proteasome regulatory subunit N10
* Pn1.177             K13181  520.80  804.3  7.5e-242 ATP-dependent RNA helicase DDX27 [EC:3.6.4.13]
* Pn1.180             K09422  126.07  267.2   1.1e-79 transcription factor MYB, plant
* Pn1.191             K25785  227.33  380.4  3.8e-114 bZIP transcription factor 19/23/24
* Pn1.195             K03094   60.53  299.9   6.2e-90 S-phase kinase-associated protein 1
* Pn1.198             K03094   60.53  301.8   1.6e-90 S-phase kinase-associated protein 1
* Pn1.200             K19042   70.00  222.1   6.3e-66 E3 ubiquitin-protein ligase BOI and related proteins [EC:2.3.2.27]
* Pn1.202             K14432   81.97  133.6   5.6e-39 ABA responsive element binding factor
* Pn1.203             K18757  110.20  192.8   5.3e-57 la-related protein 1
* Pn1.204             K09872  227.30  539.6  1.3e-162 aquaporin PIP
* Pn1.207             K10581  296.67  582.6  5.9e-175 ubiquitin-conjugating enzyme E2 O [EC:2.3.2.24]
* Pn1.209             K00430  113.80  331.5   5.3e-99 peroxidase [EC:1.11.1.7]
* Pn1.211             K01102  188.10  408.7  1.4e-122 pyruvate dehydrogenase phosphatase [EC:3.1.3.43]
* Pn1.214             K03327  104.53  527.0  4.5e-158 multidrug resistance protein, MATE family
* Pn1.218             K13412  534.20  753.7  6.4e-227 calcium-dependent protein kinase [EC:2.7.11.1]
* Pn1.223             K09537  108.40  234.6   8.8e-70 DnaJ homolog subfamily C member 17
* Pn1.224             K11584  256.60  512.0  1.6e-153 serine/threonine-protein phosphatase 2A regulatory subunit B'
* Pn1.228             K02638   90.67  183.9   1.3e-54 plastocyanin
* Pn1.230             K16585   67.27  107.6   2.9e-31 HAUS augmin-like complex subunit 2
* Pn1.231             K13648  566.33  966.7  3.3e-291 alpha-1,4-galacturonosyltransferase [EC:2.4.1.43]
* Pn1.233             K13109  214.77  490.4  4.2e-147 IK cytokine
* Pn1.234             K01179   21.90  309.0   4.5e-92 endoglucanase [EC:3.2.1.4]
* Pn1.235             K01051   76.27  281.0   6.7e-84 pectinesterase [EC:3.1.1.11]
* Pn1.237             K01623   46.60  680.6    1e-204 fructose-bisphosphate aldolase, class I [EC:4.1.2.13]
* Pn1.240             K07071  117.50  230.9   1.3e-68 uncharacterized protein
* Pn1.242             K02155  120.63  310.2   6.3e-93 V-type H+-transporting ATPase 16kDa proteolipid subunit
* Pn1.243             K01711  272.53  618.2  8.8e-186 GDPmannose 4,6-dehydratase [EC:4.2.1.47]
* Pn1.249             K14486  150.40  792.4  2.4e-238 auxin response factor
* Pn1.252             K14488   34.97  111.4   3.5e-32 SAUR family protein
* Pn1.255             K14488   34.97  141.5   2.1e-41 SAUR family protein
* Pn1.261             K01179   21.90  201.3   1.7e-59 endoglucanase [EC:3.2.1.4]
* Pn1.263             K22520  130.90  278.1   2.4e-83 protein disulfide-isomerase [EC:5.3.4.1]
