# gene name           KO     thrshld  score   E-value KO definition
#-------------------- ------ ------- ------ --------- ---------------------
* Pn12.431            K01626   59.20  463.0  6.7e-139 3-deoxy-7-phosphoheptulonate synthase [EC:2.5.1.54]
* Pn12.429            K10534  665.37 1363.6         0 nitrate reductase (NAD(P)H) [EC:1.7.1.1 1.7.1.2 1.7.1.3]
* Pn12.429            K00326  157.40  237.4   1.1e-70 cytochrome-b5 reductase [EC:1.6.2.2]
* Pn12.423            K13114   56.47  226.9     2e-67 pinin
* Pn12.416            K08486  213.73  328.8   2.2e-98 syntaxin 1B/2/3
* Pn12.406            K01179   21.90  328.9   4.3e-98 endoglucanase [EC:3.2.1.4]
* Pn12.405            K14488   34.97   72.3     3e-20 SAUR family protein
* Pn12.404            K14488   34.97   78.8     3e-22 SAUR family protein
* Pn12.403            K14488   34.97   88.7   2.9e-25 SAUR family protein
* Pn12.401            K13173   56.87  172.5   5.1e-51 arginine and glutamate-rich protein 1
* Pn12.394            K09286   88.90  132.0   1.3e-38 EREBP-like factor
* Pn12.391            K23977  549.73  710.6    2e-214 L-glutamine---4-(methylsulfanyl)-2-oxobutanoate aminotransferase [EC:2.6.1.117]
* Pn12.391            K14267  456.43  485.1  1.2e-145 N-succinyldiaminopimelate aminotransferase [EC:2.6.1.17]
* Pn12.390            K01674  234.37  358.2  2.1e-107 carbonic anhydrase [EC:4.2.1.1]
* Pn12.389            K22949  239.77  316.0   1.5e-94 FAD synthetase [EC:2.7.7.2]
* Pn12.388            K05278  412.50  547.6  3.4e-165 flavonol synthase [EC:1.14.20.6]
* Pn12.387            K13993   74.33  145.0   1.6e-42 HSP20 family protein
* Pn12.384            K09419  215.40  265.7   2.9e-79 heat shock transcription factor, other eukaryote
* Pn12.378            K14411  286.33  331.5   3.2e-99 RNA-binding protein Musashi
* Pn12.377            K03152  136.37  241.0   6.3e-72 protein deglycase [EC:3.5.1.124]
* Pn12.372            K09419  215.40  267.4   8.6e-80 heat shock transcription factor, other eukaryote
* Pn12.369            K09843  460.30  849.1  5.5e-256 (+)-abscisic acid 8'-hydroxylase [EC:1.14.14.137]
* Pn12.368            K13448  141.30  167.0     3e-49 calcium-binding protein CML
* Pn12.365            K14611  515.30  520.3  3.9e-156 solute carrier family 23 (nucleobase transporter), member 1
* Pn12.355            K14499  115.07  325.2   2.6e-97 BRI1 kinase inhibitor 1
* Pn12.348            K01950  525.90  810.1  9.4e-244 NAD+ synthase (glutamine-hydrolysing) [EC:6.3.5.1]
* Pn12.338            K01719   58.37  165.3   9.7e-49 uroporphyrinogen-III synthase [EC:4.2.1.75]
* Pn12.337            K16297  480.00  534.3  1.5e-160 serine carboxypeptidase-like clade II [EC:3.4.16.-]
* Pn12.336            K08963  373.27  582.2    5e-175 methylthioribose-1-phosphate isomerase [EC:5.3.1.23]
* Pn12.336            K00899  356.43  488.8  1.2e-146 5-methylthioribose kinase [EC:2.7.1.100]
* Pn12.318            K22522   75.87  444.9  9.3e-134 cytokinin riboside 5'-monophosphate phosphoribohydrolase [EC:3.2.2.-]
* Pn12.298            K07195  162.93  664.0  1.2e-199 exocyst complex component 7
* Pn12.296            K12198  132.17  375.6    8e-113 charged multivesicular body protein 5
* Pn12.295            K00924  377.63  384.8  3.7e-115 kinase [EC:2.7.1.-]
* Pn12.288            K12872   92.23  601.7  8.1e-181 pre-mRNA-splicing factor RBM22/SLT11
* Pn12.282            K14400  180.70  187.7   9.6e-56 pre-mRNA cleavage complex 2 protein Pcf11
* Pn12.280            K14785   84.07  347.1  8.7e-104 ESF2/ABP1 family protein
* Pn12.278            K02873   43.00  331.9   1.9e-99 large subunit ribosomal protein L13e
* Pn12.277            K22736   36.20  217.0     2e-64 vacuolar iron transporter family protein
* Pn12.275            K00416   35.00  103.8   3.1e-30 ubiquinol-cytochrome c reductase subunit 6
* Pn12.273            K17637  170.07  745.3  6.2e-224 exocyst complex component 2
* Pn12.272            K03841  218.73  624.3  6.1e-188 fructose-1,6-bisphosphatase I [EC:3.1.3.11]
* Pn12.271            K12188   86.97  388.5  1.2e-116 ESCRT-II complex subunit VPS22
* Pn12.268            K22647  106.77  374.8  3.4e-112 ubiquitin carboxyl-terminal hydrolase MINDY-3/4 [EC:3.4.19.12]
* Pn12.262            K19600  127.33  391.3  3.6e-117 tubby and related proteins
* Pn12.249            K14432   81.97  170.5   3.4e-50 ABA responsive element binding factor
* Pn12.248            K05841  292.77  726.1  3.3e-218 sterol 3beta-glucosyltransferase [EC:2.4.1.173]
* Pn12.246            K02925  315.27  806.3  6.4e-243 large subunit ribosomal protein L3e
* Pn12.243            K10706  374.77  480.2  7.2e-144 senataxin [EC:5.6.2.-]
* Pn12.242            K13124  282.20  490.2    2e-147 mitogen-activated protein kinase organizer 1
* Pn12.231            K12623   88.03  247.2     6e-74 U6 snRNA-associated Sm-like protein LSm4
* Pn12.230            K03952   52.87  128.2   1.6e-37 NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 8
* Pn12.229            K09286   88.90  163.9   2.4e-48 EREBP-like factor
* Pn12.227            K14948  583.13  615.4  6.7e-185 polypyrimidine tract-binding protein 2
* Pn12.223            K20472   84.50  127.6   1.9e-37 coatomer subunit zeta
* Pn12.219            K02961   84.33  120.4   3.9e-35 small subunit ribosomal protein S17
* Pn12.218            K05681  647.60  768.0  3.4e-231 ATP-binding cassette, subfamily G (WHITE), member 2
* Pn12.208            K14412  327.53  682.8  6.7e-206 alpha-1,4-fucosyltransferase [EC:2.4.1.65]
* Pn12.205            K16221  107.23  172.6     9e-51 transcription factor TCP21 (protein CCA1 HIKING EXPEDITION)
* Pn12.202            K14412  327.53  505.0  6.3e-152 alpha-1,4-fucosyltransferase [EC:2.4.1.65]
* Pn12.192            K05803   97.13   99.9   6.6e-29 lipoprotein NlpI
* Pn12.191            K09422  126.07  285.5     3e-85 transcription factor MYB, plant
* Pn12.187            K00921  394.93  543.8  5.4e-163 1-phosphatidylinositol-3-phosphate 5-kinase [EC:2.7.1.150]
* Pn12.186            K00921  394.93 1047.8         0 1-phosphatidylinositol-3-phosphate 5-kinase [EC:2.7.1.150]
* Pn12.183            K23050  424.43  487.5  1.7e-146 phenylcoumaran benzylic ether reductase [EC:1.3.1.-]
* Pn12.179            K04499  558.07  882.3  4.6e-266 RuvB-like protein 1 [EC:5.6.2.4]
* Pn12.178            K00600   68.73  783.9  6.6e-236 glycine hydroxymethyltransferase [EC:2.1.2.1]
* Pn12.174            K07342   24.67  139.1   5.9e-41 protein transport protein SEC61 subunit gamma and related proteins
* Pn12.173            K00921  394.93 1183.0         0 1-phosphatidylinositol-3-phosphate 5-kinase [EC:2.7.1.150]
* Pn12.164            K13108  101.67  382.2  1.7e-114 smad nuclear-interacting protein 1
* Pn12.163            K15397  182.80  863.8  3.1e-260 3-ketoacyl-CoA synthase [EC:2.3.1.199]
* Pn12.160            K07442   95.93  213.3   2.4e-63 tRNA (adenine57-N1/adenine58-N1)-methyltransferase catalytic subunit [EC:2.1.1.219 2.1.1.220]
* Pn12.158            K15333  130.53  146.9   2.3e-43 tRNA guanosine-2'-O-methyltransferase [EC:2.1.1.34]
* Pn12.156            K24962  123.07  457.2  3.1e-137 PAT complex subunit CCDC47
* Pn12.149            K06199   28.87   90.1   6.1e-26 fluoride exporter
* Pn12.148            K06199   28.87  102.3   1.2e-29 fluoride exporter
* Pn12.147            K10767  160.70  477.3  2.8e-143 mRNA N6-methyladenine demethylase [EC:1.14.11.53]
* Pn12.144            K20891  187.17  472.4  5.1e-142 beta-glucuronosyltransferase [EC:2.4.1.-]
* Pn12.142            K03686  388.20  471.4  2.1e-141 molecular chaperone DnaJ
* Pn12.138            K14486  150.40  256.0   3.7e-76 auxin response factor
* Pn12.137            K02155  120.63  138.0   1.8e-40 V-type H+-transporting ATPase 16kDa proteolipid subunit
* Pn12.134            K03434  113.80  259.8   1.5e-77 N-acetylglucosaminylphosphatidylinositol deacetylase [EC:3.5.1.89]
* Pn12.133            K14498  406.07  722.0  4.1e-217 serine/threonine-protein kinase SRK2 [EC:2.7.11.1]
* Pn12.131            K21866  509.67 1305.6         0 ion channel POLLUX/CASTOR
* Pn12.129            K07019  332.97  381.3  3.4e-114 uncharacterized protein
* Pn12.127            K22736   36.20  131.6   1.7e-38 vacuolar iron transporter family protein
* Pn12.122            K07375  514.33 1116.1         0 tubulin beta
