# gene name           KO     thrshld  score   E-value KO definition
#-------------------- ------ ------- ------ --------- ---------------------
* Pn2.665             K01689   63.60  760.3  4.8e-229 enolase [EC:4.2.1.11]
* Pn2.666             K06694  196.07  254.6   8.1e-76 26S proteasome non-ATPase regulatory subunit 10
* Pn2.667             K07735   52.73  130.4   2.9e-38 putative transcriptional regulator
* Pn2.669             K08873  648.00 2266.0         0 serine/threonine-protein kinase SMG1 [EC:2.7.11.1]
* Pn2.671             K10532  111.70  172.4   5.9e-51 heparan-alpha-glucosaminide N-acetyltransferase [EC:2.3.1.78]
* Pn2.674             K00430  113.80  361.4  4.6e-108 peroxidase [EC:1.11.1.7]
* Pn2.675             K02519  323.40  730.0  2.5e-219 translation initiation factor IF-2
* Pn2.679             K01179   21.90  293.2   2.7e-87 endoglucanase [EC:3.2.1.4]
* Pn2.694             K12605  101.97  211.4   1.4e-62 CCR4-NOT transcription complex subunit 2
* Pn2.706             K15634  201.00  303.9   7.7e-91 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]
* Pn2.711             K22379  130.50  573.8  1.3e-172 E3 ubiquitin-protein ligase RNFT1 [EC:2.3.2.27]
* Pn2.724             K24544  763.67  811.6  9.7e-245 cytochrome P450 family 714 subfamily C
* Pn2.727             K13448  141.30  147.9     2e-43 calcium-binding protein CML
* Pn2.735             K02866   76.37  125.0   1.5e-36 large subunit ribosomal protein L10e
* Pn2.737             K03245   45.03   79.2   1.8e-22 translation initiation factor 3 subunit J
* Pn2.746             K02876   46.93  258.3   6.2e-77 large subunit ribosomal protein L15
* Pn2.748             K24193  401.27  932.0  1.5e-280 MFS transporter, SP family, sugar:H+ symporter
* Pn2.750             K03671  107.90  132.1   1.2e-38 thioredoxin 1
* Pn2.752             K13434  185.97  220.6   1.4e-65 pathogenesis-related genes transcriptional activator PTI6
* Pn2.752             K09286   88.90  127.9   2.2e-37 EREBP-like factor
* Pn2.753             K06689  279.60  382.3  6.8e-115 ubiquitin-conjugating enzyme E2 D [EC:2.3.2.23]
* Pn2.766             K13425  298.27  322.1   2.9e-96 WRKY transcription factor 22
* Pn2.767             K12795  104.03  232.1     6e-69 suppressor of G2 allele of SKP1
* Pn2.773             K22530  327.23  384.1    5e-115 ATPase family AAA domain-containing protein 1 [EC:3.6.1.-]
* Pn2.774             K01939  140.87  619.2  1.9e-186 adenylosuccinate synthase [EC:6.3.4.4]
* Pn2.780             K00430  113.80  380.0    1e-113 peroxidase [EC:1.11.1.7]
* Pn2.810             K00079  319.30  355.9    1e-106 carbonyl reductase 1 [EC:1.1.1.184 1.1.1.189 1.1.1.197]
* Pn2.820             K17361  175.00  401.0  3.6e-120 acyl-coenzyme A thioesterase 9 [EC:3.1.2.-]
* Pn2.829             K05288  502.37  720.2  1.9e-216 GPI ethanolamine phosphate transferase 3 subunit O [EC:2.7.-.-]
* Pn2.829             K18182   43.23   47.8   6.7e-13 cytochrome c oxidase assembly protein subunit 16
* Pn2.833             K01166   76.80  124.9   2.3e-36 ribonuclease T2 [EC:4.6.1.19]
* Pn2.834             K11593  433.27  438.0  3.9e-131 eukaryotic translation initiation factor 2C
* Pn2.836             K09286   88.90  155.1   1.2e-45 EREBP-like factor
* Pn2.843             K14561  232.77  408.7  1.3e-122 U3 small nucleolar ribonucleoprotein protein IMP4
* Pn2.845             K09284  280.03  530.7  2.5e-159 AP2-like factor, euAP2 lineage
* Pn2.846             K02960  159.17  318.0   1.3e-95 small subunit ribosomal protein S16e
* Pn2.847             K21232   83.33  122.0   1.1e-35 molybdopterin synthase sulfur carrier subunit
* Pn2.847             K03636   35.03   51.2   5.8e-14 sulfur-carrier protein
* Pn2.848             K00588  111.23  215.2   5.9e-64 caffeoyl-CoA O-methyltransferase [EC:2.1.1.104]
* Pn2.849             K00052  412.77  647.8  5.7e-195 3-isopropylmalate dehydrogenase [EC:1.1.1.85]
* Pn2.858             K02112  508.03  890.7  1.8e-268 F-type H+/Na+-transporting ATPase subunit beta [EC:7.1.2.2 7.2.2.1]
* Pn2.859             K10761  100.13  519.1  4.9e-156 tRNA(His) guanylyltransferase [EC:2.7.7.79]
* Pn2.861             K11517  499.53  631.9  8.1e-190 (S)-2-hydroxy-acid oxidase [EC:1.1.3.15]
* Pn2.865             K13429  708.60  937.1  1.8e-282 chitin elicitor receptor kinase 1
* Pn2.883             K00688  103.87  110.6   2.5e-32 glycogen phosphorylase [EC:2.4.1.1]
* Pn2.887             K12813 1216.53 1618.9         0 pre-mRNA-splicing factor ATP-dependent RNA helicase DHX16 [EC:3.6.4.13]
* Pn2.889             K14572  207.83  599.9    4e-180 midasin
* Pn2.890             K14572  207.83  274.6     4e-82 midasin
* Pn2.891             K14572  207.83 1763.0         0 midasin
* Pn2.896             K00012  381.43  697.7  7.9e-210 UDPglucose 6-dehydrogenase [EC:1.1.1.22]
* Pn2.899             K02966   47.07  261.8   1.9e-78 small subunit ribosomal protein S19e
* Pn2.901             K20628  126.20  137.5   2.5e-40 expansin
* Pn2.903             K01213  513.57  575.9  3.3e-173 galacturan 1,4-alpha-galacturonidase [EC:3.2.1.67]
* Pn2.910             K04718  267.87  323.1   1.3e-96 sphingosine kinase [EC:2.7.1.91]
* Pn2.912             K15177  108.93  274.5   1.1e-81 RNA polymerase-associated protein LEO1
* Pn2.916             K16075   95.47  419.0  8.2e-126 magnesium transporter
* Pn2.918             K07195  162.93  261.7     6e-78 exocyst complex component 7
* Pn2.919             K07195  162.93  330.4     1e-98 exocyst complex component 7
* Pn2.920             K00827  555.33  860.6  4.7e-259 alanine-glyoxylate transaminase / (R)-3-amino-2-methylpropionate-pyruvate transaminase [EC:2.6.1.44 2.6.1.40]
* Pn2.921             K07466  108.83  510.6  2.6e-153 replication factor A1
* Pn2.929             K18635   55.63  172.2   7.6e-51 protein SPIRAL1 and related proteins
* Pn2.935             K09590  481.47  752.1  6.9e-227 brassinosteroid-6-oxidase 1 [EC:1.14.-.-]
* Pn2.941             K09264  128.70  282.5   2.1e-84 MADS-box transcription factor, plant
* Pn2.943             K25762  205.20  287.5   7.5e-86 tubulin N-terminal N-acetyltransferase [EC:2.3.1.308]
* Pn9.1326            K15285  201.97  305.7     2e-91 solute carrier family 35, member E3
* Pn9.1285            K17361  175.00  411.0  3.4e-123 acyl-coenzyme A thioesterase 9 [EC:3.1.2.-]
* Pn9.1282            K01653   47.73  544.1    2e-163 acetolactate synthase I/III small subunit [EC:2.2.1.6]
* Pn9.1280            K17782   23.57  103.0   1.2e-29 mitochondrial intermembrane space import and assembly protein 40
* Pn9.1279            K02193  195.97  231.7   5.5e-69 heme exporter protein A [EC:7.6.2.5]
* Pn9.1277            K01184  446.20  469.0  7.2e-141 polygalacturonase [EC:3.2.1.15]
* Pn9.1274            K12373   93.27  434.4  2.3e-130 hexosaminidase [EC:3.2.1.52]
* Pn9.1274            K21552  125.17  298.3   2.8e-89 methyl halide transferase [EC:2.1.1.165]
* Pn9.1273            K21552  125.17  183.4   2.7e-54 methyl halide transferase [EC:2.1.1.165]
* Pn9.1272            K21552  125.17  368.0  1.6e-110 methyl halide transferase [EC:2.1.1.165]
* Pn9.1271            K21552  125.17  184.3   1.5e-54 methyl halide transferase [EC:2.1.1.165]
* Pn9.1269            K01179   21.90  260.2   2.6e-77 endoglucanase [EC:3.2.1.4]
* Pn9.1266            K15191  229.20  345.1    3e-103 La-related protein 7
* Pn9.1260            K01240  351.23  492.6  4.8e-148 uridine nucleosidase [EC:3.2.2.3]
* Pn9.1258            K00901   97.87  550.0  3.6e-165 diacylglycerol kinase (ATP) [EC:2.7.1.107]
* Pn9.1254            K18178   34.77  119.8   4.6e-35 cytochrome c oxidase assembly factor 5
* Pn9.1253            K07759   78.80  125.2   1.2e-36 poly(ADP-ribose) glycohydrolase [EC:3.2.1.143]
* Pn9.1251            K00794   50.97  270.4   7.1e-81 6,7-dimethyl-8-ribityllumazine synthase [EC:2.5.1.78]
* Pn9.1248            K03575  147.03  494.7  1.9e-148 A/G-specific adenine glycosylase [EC:3.2.2.31]
* Pn9.1241            K20562  728.07  796.0  4.4e-240 biphenyl-4-hydroxylase
* Pn9.1238            K03526   79.33  599.4  2.1e-180 (E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase [EC:1.17.7.1 1.17.7.3]
