# gene name           KO     thrshld  score   E-value KO definition
#-------------------- ------ ------- ------ --------- ---------------------
* Pn17.34             K13431  371.87  388.7  2.5e-116 signal recognition particle receptor subunit alpha
* Pn17.33             K11816  313.27  653.9  1.1e-196 indole-3-pyruvate monooxygenase [EC:1.14.13.168]
* Pn17.31             K03453  219.17  469.8  2.7e-141 bile acid:Na+ symporter, BASS family
* Pn17.25             K03301   80.00  628.2  5.8e-189 ATP:ADP antiporter, AAA family
* Pn17.24             K15397  182.80  803.8  4.4e-242 3-ketoacyl-CoA synthase [EC:2.3.1.199]
* Pn17.20             K03066  513.67  877.1  1.2e-264 26S proteasome regulatory subunit T6
* Pn17.16             K21867  380.03 1230.3         0 potassium channel
* Pn17.10             K02265   28.90   51.2   7.3e-14 cytochrome c oxidase subunit 5b
* Pn17.9              K06130  363.37  397.4  2.7e-119 lysophospholipase II [EC:3.1.1.5]
* Pn17.9              K06999   96.13  143.9   2.4e-42 phospholipase/carboxylesterase
* Pn17.7              K18740  113.97  209.5   3.8e-62 exonuclease 3'-5' domain-containing protein 1
* Pn11.480            K16904   97.60  222.9   1.8e-66 dCTP diphosphatase [EC:3.6.1.12]
* Pn11.482            K23050  424.43  607.2  8.4e-183 phenylcoumaran benzylic ether reductase [EC:1.3.1.-]
* Pn11.484            K13206   59.53  266.1     3e-79 coiled-coil domain-containing protein 55
* Pn11.487            K11252   31.47  182.4   4.8e-54 histone H2B
* Pn11.488            K09286   88.90  134.2   2.6e-39 EREBP-like factor
* Pn11.489            K03687   32.93  215.7   4.6e-64 molecular chaperone GrpE
* Pn11.495            K15280  196.47  214.9   7.3e-64 solute carrier family 35, member C2
* Pn11.496            K14638  384.90  714.7  6.2e-215 solute carrier family 15 (peptide/histidine transporter), member 3/4
* Pn11.504            K01462   50.80  219.9   1.5e-65 peptide deformylase [EC:3.5.1.88]
* Pn11.505            K10999 1165.60 2090.6         0 cellulose synthase A [EC:2.4.1.12]
* Pn11.506            K14514  179.27  558.9  6.7e-168 ethylene-insensitive protein 3
* Pn11.514            K01188  726.00  809.8  7.8e-244 beta-glucosidase [EC:3.2.1.21]
* Pn11.514            K05350  579.93  638.2  7.2e-192 beta-glucosidase [EC:3.2.1.21]
* Pn11.515            K00162  507.50  539.0  4.3e-162 pyruvate dehydrogenase E1 component beta subunit [EC:1.2.4.1]
* Pn11.516            K14546  135.90  338.4  4.2e-101 U3 small nucleolar RNA-associated protein 5
* Pn11.519            K07936  149.03  509.8  1.9e-153 GTP-binding nuclear protein Ran
* Pn11.520            K07936  149.03  449.3  4.4e-135 GTP-binding nuclear protein Ran
* Pn11.522            K02265   28.90   46.2   2.4e-12 cytochrome c oxidase subunit 5b
* Pn11.523            K06130  363.37  397.1  3.3e-119 lysophospholipase II [EC:3.1.1.5]
* Pn11.523            K06999   96.13  143.8   2.7e-42 phospholipase/carboxylesterase
* Pn11.525            K18740  113.97  209.8   2.9e-62 exonuclease 3'-5' domain-containing protein 1
* Pn11.532            K10752  286.37  539.7  4.7e-162 histone-binding protein RBBP4
* Pn11.533            K24939  161.20  375.6  2.1e-112 CWF19-like protein 1
* Pn11.539            K03676   76.57   93.9   4.5e-27 glutaredoxin 3
* Pn11.546            K20771  548.20  935.5  3.1e-282 carlactone C-19 oxidase [EC:1.14.-.-]
* Pn11.547            K08960  691.83  693.6  8.8e-209 casein kinase 1, epsilon [EC:2.7.11.1]
* Pn11.547            K02218  623.17  676.0  1.6e-203 casein kinase 1 [EC:2.7.11.1]
* Pn11.550            K12638  797.97  812.5  4.1e-245 3-epi-6-deoxocathasterone 23-monooxygenase [EC:1.14.14.147]
* Pn11.552            K02891   40.57  226.9   1.5e-67 large subunit ribosomal protein L22e
* Pn11.554            K01489   25.80  116.5   7.7e-34 cytidine deaminase [EC:3.5.4.5]
* Pn11.562            K09510  461.87  491.1  1.1e-147 DnaJ homolog subfamily B member 4
* Pn11.568            K07375  514.33  746.9  1.4e-224 tubulin beta
* Pn11.620            K20843  635.80 1067.9         0 hydroxyproline O-galactosyltransferase 2/3/4/5/6 [EC:2.4.1.-]
* Pn11.624            K11594  716.27  922.3    8e-278 ATP-dependent RNA helicase DDX3X [EC:3.6.4.13]
* Pn11.629            K22522   75.87  344.2  3.7e-103 cytokinin riboside 5'-monophosphate phosphoribohydrolase [EC:3.2.2.-]
