Hit	DB	Accession	Description	Organism	Length	Score(Bits)	Identities(%)	Positives(%)	E()
1	SP	A0A6B9HER0	Piperic acid--CoA ligase OS=Piper nigrum OX=13216 PE=1 SV=1	Piper nigrum	548	2120	75.6	85.9	0.0
2	TR	A0A1U8AJ01	4-coumarate--CoA ligase-like 7 OS=Nelumbo nucifera OX=4432 GN=LOC104604518 PE=4 SV=1	Nelumbo nucifera	543	1955	68.4	82.7	0.0
3	TR	A0A834Z3D9	4-coumarate--CoA ligase OS=Tetracentron sinense OX=13715 GN=HHK36_018170 PE=4 SV=1	Tetracentron sinense	542	1933	66.7	82.6	0.0
4	TR	A0A200R5N5	AMP-dependent synthetase/ligase OS=Macleaya cordata OX=56857 GN=BVC80_1835g411 PE=4 SV=1	Macleaya cordata	540	1916	67.8	82.4	0.0
5	TR	A0A3S3N254	4-coumarate--CoA ligase-like protein 7 OS=Cinnamomum micranthum f. kanehirae OX=337451 GN=CKAN_00795300 PE=4 SV=1	Cinnamomum micranthum f. kanehirae	536	1909	67.1	82.8	0.0
6	TR	A0A7J6XCF2	4-coumarate-CoA ligase OS=Thalictrum thalictroides OX=46969 GN=FRX31_004341 PE=4 SV=1	Thalictrum thalictroides	542	1890	66.0	81.7	0.0
7	TR	A0A200Q9A1	AMP-dependent synthetase/ligase OS=Macleaya cordata OX=56857 GN=BVC80_1731g33 PE=4 SV=1	Macleaya cordata	542	1884	65.8	81.2	0.0
8	TR	A0A7J7GEC3	4-coumarate--CoA ligase OS=Camellia sinensis OX=4442 GN=HYC85_025192 PE=4 SV=1	Camellia sinensis	544	1872	64.8	82.0	0.0
9	TR	A0A5J5BLW8	Uncharacterized protein OS=Nyssa sinensis OX=561372 GN=F0562_022137 PE=4 SV=1	Nyssa sinensis	543	1871	66.1	81.2	0.0
10	TR	A0A8K0MR64	4-coumarate--CoA ligase OS=Rhamnella rubrinervis OX=2594499 GN=FNV43_RR05376 PE=4 SV=1	Rhamnella rubrinervis	542	1868	64.7	81.4	0.0
11	TR	A0A4S4EL87	Uncharacterized protein OS=Camellia sinensis var. sinensis OX=542762 GN=TEA_008408 PE=4 SV=1	Camellia sinensis var. sinensis	659	1868	64.7	82.0	0.0
12	TR	A0A7J7LCD3	4-coumarate--CoA ligase OS=Kingdonia uniflora OX=39325 GN=GIB67_000270 PE=4 SV=1	Kingdonia uniflora	544	1864	65.0	80.5	0.0
13	TR	A0A2G5D214	4-coumarate--CoA ligase OS=Aquilegia coerulea OX=218851 GN=AQUCO_03000071v1 PE=4 SV=1	Aquilegia coerulea	543	1862	65.5	80.8	0.0
14	TR	F6GW98	4-coumarate--CoA ligase-like 7 OS=Vitis vinifera OX=29760 GN=VIT_06s0061g00450 PE=4 SV=1	Vitis vinifera	544	1860	64.7	81.1	0.0
15	TR	B9SCH9	AMP dependent CoA ligase, putative OS=Ricinus communis OX=3988 GN=RCOM_0473330 PE=4 SV=1	Ricinus communis	542	1859	64.5	81.2	0.0
16	TR	A0A6P3ZLT8	4-coumarate--CoA ligase-like 7 isoform X1 OS=Ziziphus jujuba OX=326968 GN=LOC107411478 PE=4 SV=1	Ziziphus jujuba	542	1859	64.9	80.8	0.0
17	TR	A0A8T1NIX1	4-coumarate--CoA ligase OS=Carya illinoinensis OX=32201 GN=CIPAW_13G119400 PE=4 SV=1	Carya illinoinensis	544	1859	65.0	80.9	0.0
18	TR	A0A2P5FTQ5	4-coumarate-CoA ligase OS=Trema orientale OX=63057 GN=TorOPCL3 PE=4 SV=1	Trema orientale	544	1847	65.0	80.5	0.0
19	TR	A0A6P3ZAB3	4-coumarate--CoA ligase-like 7 isoform X3 OS=Ziziphus jujuba OX=326968 GN=LOC107411478 PE=4 SV=1	Ziziphus jujuba	543	1845	64.6	80.7	0.0
20	TR	A0A2I4HRL8	4-coumarate--CoA ligase-like 7 OS=Juglans regia OX=51240 GN=LOC109020728 PE=4 SV=1	Juglans regia	544	1842	64.3	80.7	0.0
21	TR	A0A5J5BLY3	Uncharacterized protein OS=Nyssa sinensis OX=561372 GN=F0562_022135 PE=4 SV=1	Nyssa sinensis	543	1838	64.6	80.3	0.0
22	TR	A0A2C9W0W5	4-coumarate--CoA ligase OS=Manihot esculenta OX=3983 GN=MANES_04G015100 PE=4 SV=1	Manihot esculenta	542	1836	64.9	80.4	0.0
23	TR	A0A067L6D3	Uncharacterized protein OS=Jatropha curcas OX=180498 GN=JCGZ_05454 PE=4 SV=1	Jatropha curcas	542	1836	63.8	80.6	0.0
24	TR	A0A7J0GPT5	AMP-dependent synthetase and ligase family protein OS=Actinidia rufa OX=165716 GN=Acr_23g0012120 PE=4 SV=1	Actinidia rufa	544	1831	63.8	80.1	0.0
25	TR	A0A2R6PQ80	4-coumarate--CoA ligase-like OS=Actinidia chinensis var. chinensis OX=1590841 GN=CEY00_Acc25973 PE=4 SV=1	Actinidia chinensis var. chinensis	544	1830	63.8	79.8	0.0
26	TR	A0A6P5XQ41	4-coumarate--CoA ligase-like 7 OS=Durio zibethinus OX=66656 GN=LOC111285230 PE=4 SV=1	Durio zibethinus	545	1829	63.3	79.3	0.0
27	TR	A0A2I0K7V3	4-coumarate--CoA ligase-like 7 OS=Punica granatum OX=22663 GN=LOC116200840 PE=4 SV=1	Punica granatum	542	1829	63.8	79.3	0.0
28	TR	A0A6I9R2R6	4-coumarate--CoA ligase OS=Elaeis guineensis var. tenera OX=51953 GN=LOC105042958 PE=4 SV=1	Elaeis guineensis var. tenera	544	1823	65.4	80.4	0.0
29	TR	A0A2P5CZL5	4-coumarate-CoA ligase OS=Parasponia andersonii OX=3476 GN=PanOPCL3 PE=4 SV=1	Parasponia andersonii	544	1821	64.3	80.0	0.0
30	TR	A0A2K1X6J3	Uncharacterized protein OS=Populus trichocarpa OX=3694 GN=POPTR_017G112800 PE=4 SV=1	Populus trichocarpa	543	1818	64.2	79.9	0.0
31	TR	A0A2P6QGZ5	Putative AMP-dependent synthetase/ligase, AMP-binding enzyme domain-containing protein OS=Rosa chinensis OX=74649 GN=RchiOBHm_Chr5g0057631 PE=4 SV=1	Rosa chinensis	543	1817	64.4	79.9	0.0
32	TR	A0A6I9TYZ0	LOW QUALITY PROTEIN: 4-coumarate--CoA ligase-like 7 OS=Sesamum indicum OX=4182 GN=LOC105170261 PE=4 SV=1	Sesamum indicum	549	1814	62.9	80.8	0.0
33	TR	A0A061GYC8	AMP-dependent synthetase and ligase family protein isoform 1 OS=Theobroma cacao OX=3641 GN=TCM_042143 PE=4 SV=1	Theobroma cacao	545	1814	62.5	78.9	0.0
34	TR	A0A2G9GWE8	Acyl-CoA synthetase OS=Handroanthus impetiginosus OX=429701 GN=CDL12_17805 PE=4 SV=1	Handroanthus impetiginosus	547	1810	63.1	80.5	0.0
35	TR	A0A6P9EFS9	4-coumarate--CoA ligase-like 7 OS=Juglans regia OX=51240 GN=LOC108980442 PE=4 SV=1	Juglans regia	540	1808	63.1	80.5	0.0
36	TR	A0A8T2WAJ2	4-coumarate--CoA ligase OS=Populus deltoides OX=3696 GN=H0E87_031367 PE=4 SV=1	Populus deltoides	543	1807	63.7	79.9	0.0
37	TR	A0A9R0IPV1	4-coumarate--CoA ligase-like 7 OS=Spinacia oleracea OX=3562 GN=LOC110792876 PE=4 SV=1	Spinacia oleracea	540	1807	62.3	79.7	0.0
38	TR	A0A8B8NGD8	4-coumarate--CoA ligase-like 7 OS=Rhodamnia argentea OX=178133 GN=LOC115734449 PE=4 SV=1	Rhodamnia argentea	544	1804	63.4	79.2	0.0
39	TR	A0A7J7DEQ8	4-coumarate--CoA ligase-like 7 isoform X1 OS=Tripterygium wilfordii OX=458696 GN=HS088_TW07G00327 PE=4 SV=1	Tripterygium wilfordii	544	1803	62.5	80.3	0.0
40	TR	A0A8X7ZUR1	4-coumarate--CoA ligase-like 7 OS=Populus tomentosa OX=118781 GN=POTOM_017316 PE=4 SV=1	Populus tomentosa	543	1802	63.3	80.3	0.0
41	TR	M1AEE2	AMP dependent CoA ligase OS=Solanum tuberosum OX=4113 GN=102597265 PE=4 SV=1	Solanum tuberosum	541	1801	62.6	80.5	0.0
42	TR	A0A314KHX3	4-coumarate--coa ligase-like 7 OS=Nicotiana attenuata OX=49451 GN=4CLL7 PE=4 SV=1	Nicotiana attenuata	538	1800	63.7	80.3	0.0
43	TR	A0A4U5QAX2	4-coumarate--CoA ligase-like 7 OS=Populus alba OX=43335 GN=D5086_0000112790 PE=4 SV=1	Populus alba	543	1799	63.3	80.1	0.0
44	TR	A0A1R3IJR0	AMP-dependent synthetase/ligase OS=Corchorus capsularis OX=210143 GN=CCACVL1_11760 PE=4 SV=1	Corchorus capsularis	547	1799	62.0	78.3	0.0
45	TR	A0A1U7XIM3	4-coumarate--CoA ligase-like 7 OS=Nicotiana sylvestris OX=4096 GN=LOC104234871 PE=4 SV=1	Nicotiana sylvestris	538	1798	63.1	79.9	0.0
46	TR	A0A8X8CX83	Uncharacterized protein OS=Populus tomentosa OX=118781 GN=POTOM_015567 PE=4 SV=1	Populus tomentosa	543	1798	63.3	80.1	0.0
47	TR	A0A1S4AFE3	4-coumarate--CoA ligase-like 7 OS=Nicotiana tabacum OX=4097 GN=LOC107797035 PE=4 SV=1	Nicotiana tabacum	538	1798	63.5	80.5	0.0
48	TR	A0A059DAI7	4-coumarate--CoA ligase OS=Eucalyptus grandis OX=71139 GN=EUGRSUZ_B03943 PE=4 SV=1	Eucalyptus grandis	670	1798	62.0	79.0	0.0
49	TR	A0A6J0ZWG1	4-coumarate--CoA ligase-like 7 OS=Herrania umbratica OX=108875 GN=LOC110412851 PE=4 SV=1	Herrania umbratica	545	1798	60.9	79.1	0.0
50	SP	M4IRL6	Probable CoA ligase CCL7 OS=Humulus lupulus OX=3486 GN=CCL7 PE=2 SV=1	Humulus lupulus	544	1796	63.4	80.0	0.0
51	TR	A0A5N6R403	4-coumarate--CoA ligase OS=Carpinus fangiana OX=176857 GN=FH972_012004 PE=4 SV=1	Carpinus fangiana	539	1796	62.5	79.2	0.0
52	TR	A0A2H5Q500	4-coumarate--CoA ligase OS=Citrus unshiu OX=55188 GN=CUMW_196680 PE=4 SV=1	Citrus unshiu	545	1795	62.7	78.9	0.0
53	TR	B9H3P7	4-coumarate--CoA ligase OS=Populus trichocarpa OX=3694 GN=POPTR_004G102000 PE=4 SV=1	Populus trichocarpa	543	1794	63.0	79.9	0.0
54	TR	A0A2G2VQD4	4-coumarate--CoA ligase-like 7 OS=Capsicum baccatum OX=33114 GN=CQW23_26995 PE=4 SV=1	Capsicum baccatum	546	1792	62.7	79.0	0.0
55	TR	A0A1U8ELY2	4-coumarate--CoA ligase-like 7 OS=Capsicum annuum OX=4072 GN=T459_28675 PE=4 SV=1	Capsicum annuum	542	1791	63.0	79.2	0.0
56	TR	W9SXG6	4-coumarate--CoA ligase-like 7 OS=Morus notabilis OX=981085 GN=L484_020607 PE=4 SV=1	Morus notabilis	665	1790	63.5	79.3	0.0
57	TR	A0A1S4AJS0	4-coumarate--CoA ligase-like 7 OS=Nicotiana tabacum OX=4097 GN=LOC107798422 PE=4 SV=1	Nicotiana tabacum	538	1790	63.0	79.7	0.0
58	TR	A0A835J5V4	4-coumarate--CoA ligase OS=Salix dunnii OX=1413687 GN=SADUNF_Sadunf17G0106400 PE=4 SV=1	Salix dunnii	556	1788	63.3	78.1	0.0
59	TR	A0A1R3K5V2	AMP-dependent synthetase/ligase OS=Corchorus olitorius OX=93759 GN=COLO4_11059 PE=4 SV=1	Corchorus olitorius	547	1788	60.9	78.4	0.0
60	TR	A0A4Y7KVW2	4-coumarate--CoA ligase OS=Papaver somniferum OX=3469 GN=C5167_001159 PE=4 SV=1	Papaver somniferum	548	1788	63.7	80.1	0.0
61	TR	A0A835K4I7	4-coumarate--CoA ligase OS=Salix dunnii OX=1413687 GN=SADUNF_Sadunf04G0081900 PE=4 SV=1	Salix dunnii	581	1786	62.6	79.6	0.0
62	TR	A0A5N5N130	4-coumarate--CoA ligase OS=Salix brachista OX=2182728 GN=DKX38_006051 PE=4 SV=1	Salix brachista	543	1786	63.1	79.6	0.0
63	TR	A0A8T1NI84	4-coumarate--CoA ligase OS=Carya illinoinensis OX=32201 GN=CIPAW_14G088000 PE=4 SV=1	Carya illinoinensis	540	1786	61.5	80.5	0.0
64	TR	A0A4Y7KAX3	4-coumarate--CoA ligase OS=Papaver somniferum OX=3469 GN=C5167_033646 PE=4 SV=1	Papaver somniferum	548	1785	63.9	79.6	0.0
65	TR	A0A6P5ZS98	4-coumarate--CoA ligase-like 7 OS=Durio zibethinus OX=66656 GN=LOC111303525 PE=4 SV=1	Durio zibethinus	576	1784	61.8	78.7	0.0
66	TR	V4SG03	4-coumarate--CoA ligase OS=Citrus clementina OX=85681 GN=CICLE_v10028138mg PE=4 SV=1	Citrus clementina	545	1784	62.2	78.7	0.0
67	TR	A0A7J8W2B0	4-coumarate--CoA ligase-like 7 OS=Gossypium klotzschianum OX=34286 GN=Goklo_002039 PE=4 SV=1	Gossypium klotzschianum	545	1783	60.9	79.3	0.0
