Pn1	25948588	25949838
Pn1	32101604	32104459
Pn1	33010957	33013337
Pn1	35139493	35142355
Pn1	35436436	35439541
Pn1	35668418	35669447
Pn1	39459242	39461676
Pn1	252837	253189
Pn1	42168091	42169412
Pn1	2789748	2792613
Pn1	2805035	2807901
Pn1	45574963	45575611
Pn1	2819933	2823342
Pn1	2845537	2848160
Pn1	2858836	2861934
Pn1	2875618	2881119
Pn1	4165200	4167333
Pn1	5859675	5862193
Pn1	7004550	7007085
Pn10	28431205	28433301
Pn10	28092289	28096413
Pn10	26571797	26573620
Pn10	1871515	1872114
Pn10	1872660	1874574
Pn4	27039718	27041982
Pn4	27067323	27069587
Pn4	28759442	28762658
Pn4	28763205	28765682
Pn4	29898436	29902582
Pn4	30414861	30416241
Pn4	32131843	32132799
Pn16	16211717	16212785
Pn16	14956722	14957486
Pn4	6850415	6851656
Pn4	6819145	6822910
Pn4	9574171	9575926
Pn4	6642798	6647252
Pn4	5947082	5951031
Pn4	9416097	9419891
Pn4	1755856	1759135
Pn4	1997625	1999451
Pn4	3052069	3052968
Pn4	3121187	3126503
Pn11	15528860	15529662
Pn11	3872351	3872620
Pn11	3814892	3815128
Pn11	3748831	3749130
Pn11	3705993	3706262
Pn11	2511325	2513026
Pn11	1929094	1930479
Pn11	28427005	28428567
Pn11	23823542	23825066
Pn11	23217180	23219016
Pn12	1038586	1040681
Pn12	7069980	7072605
Pn12	16133801	16134340
Pn14	27429412	27431522
Pn14	26968880	26971640
Pn14	24283055	24283528
Pn14	21340908	21343024
Pn7	17493127	17496562
Pn7	17721717	17725008
Pn7	18075673	18076895
Pn7	8425503	8426677
Pn7	13769342	13769707
Pn7	15282600	15283202
Pn3	27640371	27643443
Pn3	27957465	27960598
Pn3	27963279	27973647
Pn3	29017805	29018198
Pn3	21459061	21460460
Pn3	35226642	35229684
Pn3	34615209	34618541
Pn3	34591137	34613394
Pn21	16564897	16565550
Pn21	15111600	15114971
Pn4	680747	683494
Pn4	1469847	1474701
Pn4	162555	163590
Pn21	19715308	19716265
Pn21	21021697	21023393
Pn21	21402646	21404389
Pn21	18485433	18490708
Pn21	16634506	16635336
Pn16	9921983	9923271
Pn16	10258995	10290169
Pn16	10324009	10331675
Pn16	11494129	11494419
Pn16	20701545	20710521
Pn16	20711415	20713290
Pn16	17010566	17011294
Pn5	19011740	19013847
Pn5	34325491	34330564
Pn5	20975361	20978625
Pn18	11662189	11665708
Pn18	11390867	11391328
Pn23	20128462	20129130
Pn23	19732319	19733719
Pn23	19552158	19552678
Pn13	8464015	8464233
Pn13	10289325	10289872
Pn13	10698599	10698951
Pn13	10873372	10877500
Pn13	10967537	10971663
Pn13	16547341	16550116
Pn23	614399	616437
Pn15	22940555	22941949
Pn15	20078888	20079100
Pn3	1537689	1540876
Pn3	540411	541967
Pn3	7960799	7970456
Pn3	7689206	7689709
Pn3	7154081	7155677
Pn3	6146218	6149447
Pn3	4480947	4481171
Pn20	6369274	6371016
Pn20	5806156	5807404
Pn20	5775510	5777140
Pn20	3838130	3839329
Pn20	3225264	3231450
Pn20	3097569	3098318
Pn20	2955262	2955945
Pn20	2288424	2291814
Pn9	29661608	29662521
Pn9	29814048	29816317
Pn9	29832292	29837277
Pn9	29925185	29927478
